,DOI,filename,Material Name,Temperature (K),Equivalent CO2 Pressure (bar),Loading Estimate,Loading Units
147,10.1002/anie.201306785,10.1002anie.201306785.isotherm10,WUT-1a,303,0.00041210033557046984,0.00039612379450185896,mmol/g
148,10.1002/anie.201306785,10.1002anie.201306785.isotherm11,WUT-1a,293,0.00039849966442953024,9.372303832271089e-05,mmol/g
149,10.1002/anie.201306785,10.1002anie.201306785.isotherm12,WUT-1a,303,0.00041210033557046984,9.69217768320184e-05,mmol/g
150,10.1002/anie.201306785,10.1002anie.201306785.isotherm7,WUT-1a,273,0.00037129832214765105,0.00011485124497640489,mmol/g
151,10.1002/anie.201306785,10.1002anie.201306785.isotherm8,WUT-1a,273,0.00037129832214765105,0.00033357863165722464,mmol/g
152,10.1002/anie.201306785,10.1002anie.201306785.isotherm9,WUT-1a,293,0.00039849966442953024,0.00038305040194404187,mmol/g
153,10.1002/anie.201501718,10.1002anie.201501718.Isotherm2,PKU-17,273,0.00037129832214765105,0.0014954034798898605,mmol/g
154,10.1002/anie.201504346,10.1002anie.201504346.Isotherm4,[Zn3(BTTTDTIOA)(H2O)3]n,273,0.00037129832214765105,0.00010206829534477277,mmol/g
155,10.1002/anie.201504346,10.1002anie.201504346.Isotherm5,[Zn3(TPATTTADTIOA)(H2O)3]n,273,0.00037129832214765105,7.841629089631253e-05,mmol/g
156,10.1002/anie.201504346,10.1002anie.201504346.Isotherm6,[Zn3(TPBTTTATIOA)(H2O)3]n,273,0.00037129832214765105,3.836756017336229e-05,mmol/g
157,10.1002/anie.201607745,10.1002anie.201607745.Isotherm10,CALF-33-Et2H,283,0.00038489899328859065,0.0006830288493618342,mmol/g
158,10.1002/anie.201607745,10.1002anie.201607745.Isotherm11,CALF-33-Et2H,288,0.00039169932885906044,0.0004927165241963971,mmol/g
159,10.1002/anie.201607745,10.1002anie.201607745.Isotherm12,CALF-33-Et2H,293,0.00039849966442953024,0.0005372911042836147,mmol/g
160,10.1002/anie.201607745,10.1002anie.201607745.Isotherm3,CALF-33-Et3,278,0.00037809865771812085,0.0007304178615009153,mmol/g
161,10.1002/anie.201607745,10.1002anie.201607745.Isotherm4,CALF-33-Et3,283,0.00038489899328859065,0.0005418972668668315,mmol/g
162,10.1002/anie.201607745,10.1002anie.201607745.Isotherm5,CALF-33-Et3,288,0.00039169932885906044,0.0005937862437481299,mmol/g
163,10.1002/anie.201607745,10.1002anie.201607745.Isotherm6,CALF-33-Et3,293,0.00039849966442953024,0.0007969993288590605,mmol/g
164,10.1002/anie.201607745,10.1002anie.201607745.Isotherm9,CALF-33-Et2H,278,0.00037809865771812085,0.0007494152767327777,mmol/g
165,10.1002/asia.201200601,10.1002asia.201200601.isotherm4,[Zn3(TCPB)2*2H2O]*2H2O*4DMF,273,0.00037129832214765105,0.004647832544091306,mmol/g
166,10.1002/asia.201300615,10.1002asia.201300615.isotherm2,C67.50H78.25Cd1N1.75Na0.25O19,298,0.00040530000000000004,0.00010620199472658492,mmol/g
167,10.1002/asia.201403123,10.1002asia.201403123.Isotherm3,[Cd(2-NH2bdc)(4-bpmh)]n.2n(H2O),273,0.00037129832214765105,0.020141286911885357,mmol/g
168,10.1002/asia.201403123,10.1002asia.201403123.Isotherm4,[Cd(2-NH2bdc)(4-bpmh)]n.2n(H2O),298,0.00040530000000000004,0.0032571540720477414,mmol/g
169,10.1002/asia.201403123,10.1002asia.201403123.Isotherm5,[Cd(bdc)(4-bpmh)]n.2n(H2O),273,0.00037129832214765105,0.003481217479834151,mmol/g
170,10.1002/asia.201403123,10.1002asia.201403123.Isotherm6,[Cd(bdc)(4-bpmh)]n.2n(H2O),298,0.00040530000000000004,0.0009771050897052146,mmol/g
171,10.1002/asia.201500234,10.1002asia.201500234.Isotherm10,UPC-15,273,0.00037129832214765105,0.002699893068619314,mmol/g
172,10.1002/asia.201500234,10.1002asia.201500234.Isotherm11,UPC-15,295,0.00040121979865771816,0.0004367136331715302,mmol/g
173,10.1002/asia.201500234,10.1002asia.201500234.Isotherm12,UPC-16,273,0.00037129832214765105,0.0015367126961296025,mmol/g
174,10.1002/asia.201500234,10.1002asia.201500234.Isotherm13,UPC-16,295,0.00040121979865771816,0.000691681476936731,mmol/g
175,10.1002/asia.201500509,10.1002asia.201500509.Isotherm1,NPC-6,273,0.00037129832214765105,0.02826804856029444,wt%
176,10.1002/asia.201500509,10.1002asia.201500509.Isotherm2,NOTT-101,273,0.00037129832214765105,0.01556424652094369,wt%
